utterance,Label
what is artificial intelligence,1
what are the two main categories of artificial intelligence,1
what is machine learning,1
what is deep learning,1
what is natural language processing,1
what is computer vision,1
what is an artificial neural network,1
what is reinforcement learning,1
what is an artificial neural network,1
what is unsupervised learning,1
what is supervised learning,1
what is artificial general intelligence agi,1
what is explainable ai xai,1
what is a chatbot,1
what is a recommendation system,1
what is the difference between ai and machine learning,1
what is the difference between supervised and unsupervised learning,1
what is an ai algorithm,1
what are some applications of ai,1
what is reinforcement learning,1
what are the three types of artificial intelligence,1
what is transfer learning,1
what is the difference between ai and machine learning,1
what is overfitting,1
what is a neural network,1
what is underfitting in machine learning,1
what is the turing test,1
what is a convolutional neural network,1
what is natural language generation,1
what is a chatbot,1
what is sentiment analysis,1
what is the largest animal on earth,1
who is the king of the jungle,1
what is the largest land animal,1
what is the fastest land animal,1
which animal can hold its breath the longest,1
what is the tallest animal in the world,1
which animal has the strongest bite,1
what is the smallest mammal,1
which animal has the largest wingspan,1
what is the heaviest bird in the world,1
which animal has the best night vision,1
what is the most venomous snake,1
what is the largest land animal,1
what is the fastest land animal,1
which animal can hold its breath the longest,1
what is the tallest animal in the world,1
which animal has the strongest bite,1
what is the smallest mammal,1
which animal has the largest wingspan,1
what is the heaviest bird in the world,1
which animal has the best night vision,1
which animal has the longest lifespan,1
what is the loudest animal in the world,1
which animal has the best sense of smell,1
what is the most intelligent non human animal,1
which animal has the longest migration,1
what is the largest species of shark,1
which animal has the most legs,1
what is the most venomous fish,1
which animal has the longest neck,1
what is the largest species of penguin,1
which animal has the best camouflage,1
what is the fastest flying bird,1
which animal has the longest tusks,1
what is the smallest species of monkey,1
which animal has the most powerful jaws,1
what is the largest species of bear,1
which animal has the longest lifespan in captivity,1
what is the most endangered species of big cat,1
which animal is known for its ability to mimic human speech,1
what is the fastest marine animal,1
which animal has the most complex communication system,1
what is the largest species of lizard,1
which animal is known for its ability to echolocate,1
what is the largest species of eagle,1
which animal is capable of regenerating its limbs,1
what is the smallest species of deer,1
which animal is known for its ability to use tools,1
what is the largest species of turtle,1
which animal has the most complex social structure,1
what is the largest species of octopus,1
which animal has the longest migration by a land mammal,1
what is the most venomous marine animal,1
which animal is known for its ability to camouflage by changing color and pattern,1
what is the smallest species of whale,1
which animal has the longest migration by a bird,1
which animal is known for its ability to glide through the air,1
what is the largest species of crab,1
which animal has the longest tongue relative to its body size,1
what is the smallest species of penguin,1
which animal is known for its ability to hibernate for long periods,1
what is the largest species of fish,1
which animal has the most colorful plumage,1
what is the largest species of rodent,1
which animal is known for its ability to mimic other sounds and voices,1
what is the fastest marine mammal,1
